date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIA,SPY
2000-01-03 00:00:00+00:00,25.8538389202,33.5464954557,47.2107292277,0.8507815807,25.8975808318,13.1834543504,17.9945589185,38.1016631116,14.986012281,23.2380996535,,19.1026121285,66.246221002,41.0647616749,32.3914603464,63.998974727,25.6372752942,25.7192849324,23.7921587858,22.2128030025,27.7021647804,36.5270694142,4.5249107916,29.1560709158,,18.3516406873,5.5042770004,18.7016490328,,18.5363423875,44.2239126426,68.4170640336,95.2402793824
2000-01-04 00:00:00+00:00,24.8265884863,32.2771686006,43.6027913888,0.7790344115,25.8589181085,13.0126631466,17.9945589185,35.9516155169,15.0366317002,24.5990994658,,18.7367084355,62.0753571274,36.8505684611,31.8200816139,61.8252164474,24.4408691138,24.7763281793,23.2762865355,21.7531891125,26.7272845175,35.2923692298,4.2785419995,28.5849165415,,18.1069521448,5.4336174445,18.0963570888,,17.8483688955,42.569073822,66.1867280255,91.5157991831
2000-01-05 00:00:00+00:00,26.0921610209,32.1118361111,44.9604561473,0.7904349151,27.669622317,13.503348986,18.3840142771,36.233588972,15.2018108578,25.4701393457,,19.6685431735,59.7798816856,38.8978222645,31.4258302884,63.998974727,24.9388805534,25.1613223566,23.1317949148,22.2128030025,27.956125185,35.6652862906,4.5258511305,28.3401360954,,18.2849074484,5.4213288261,18.7016490328,,18.0106267946,41.5761705296,67.3923150569,91.6795125985
2000-01-06 00:00:00+00:00,27.612491663,32.1118361111,45.8530644692,0.7220318936,27.7469477636,13.996745797,19.0962226954,35.2466818793,15.185825778,24.5990994658,,20.7808904,61.7002794408,37.7954548319,31.9972090209,62.8955441282,23.2061543611,25.822508009,23.4601849618,21.7924244446,28.0093749472,34.4713249448,4.502342658,29.3464557072,,18.3182740679,5.6199948239,18.606487155,,17.5238530974,42.1586737944,67.3923150569,90.2060918603
2000-01-07 00:00:00+00:00,28.1603585611,32.5605044799,51.0061898234,0.7562334044,28.5524211659,14.4521890071,19.4318858774,37.3262361102,16.1848932634,24.2102423766,,20.7199064512,61.9328276065,40.0001896971,33.7113452185,62.6196864785,24.1638686681,26.9216942833,23.8903759235,22.3529291885,30.6964398734,34.9225859259,4.502342658,31.685468859,,19.0467785921,6.2784599609,18.4683123981,,17.9716848988,45.3425836853,69.6226510651,95.4449211516
2000-01-10 00:00:00+00:00,28.0233918366,33.0305380091,54.1040657642,0.7429328169,28.1529063584,13.9777689966,18.9090259208,38.7008567035,15.668042351,27.9043847244,,20.4296228548,63.2981103856,39.8049131805,33.8884726256,65.1024053257,25.2689236377,26.2409799408,23.4798883647,22.4538200424,29.7993861862,35.1764202277,4.578510109,31.522281895,,18.7019901913,6.1699104982,18.3709620011,,18.4974004917,44.515164275,69.9240478229,95.7723479823
2000-01-11 00:00:00+00:00,27.5303116283,33.329650255,49.8360478216,0.7049311382,27.7082850403,13.758180306,18.7325875815,37.5377162015,16.2008783432,28.1921389705,,20.6735586501,63.620677196,38.7781366575,33.6427797706,65.6541206251,26.429968059,26.2409799408,22.9249091851,22.9806945017,29.8239629995,34.2738982656,4.8079528008,32.0390406146,,18.4906682683,6.1832231681,18.198243555,,19.2308061954,43.8532287468,69.3815336588,94.6263540748
2000-01-12 00:00:00+00:00,27.612491663,33.1587289716,47.6757856644,0.6626732716,27.7469477636,13.996745797,18.6658852825,36.5860557907,16.3847067605,26.2011906735,,20.368638906,63.2981103856,38.4631745339,33.9627518608,65.9299782747,26.8896709264,26.0847504196,23.0694008058,23.9615778036,30.4916330955,33.1582808401,4.6433934931,31.8214579958,,18.5240348877,6.1248522306,17.5858781549,,19.6332057851,43.0655254681,69.5623717135,93.6850019365
2000-01-13 00:00:00+00:00,27.612491663,33.329650255,50.1135815015,0.7353324811,27.3087702327,14.1485602004,18.8401719347,37.4319761559,16.1342738442,27.0722305534,,20.8418743488,63.3881290304,39.1371934784,34.2141585031,65.2403341505,26.8336814746,26.051272665,23.4174942557,23.7149557163,30.6186132978,33.7850322027,4.701694505,31.2775014488,,18.9077510112,6.3173739192,17.447703398,,19.5942638893,43.1118609551,69.8637684714,94.9537809055
2000-01-14 00:00:00+00:00,27.2043308239,34.0774308697,51.2387180417,0.7633777199,28.3526637621,14.0807859132,18.7196774591,37.9254297022,16.2674828422,26.1000878303,,20.4296228548,64.235804602,39.0175078715,34.2141585031,65.9961841107,30.3816446302,26.1377568643,24.2614566767,23.8831071395,30.3646528932,35.1764202277,4.824878901,31.8214579958,,18.9077510112,6.3102055585,17.6832285519,,19.1074901922,42.6948415723,70.8282380965,96.2429939282
