date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03 00:00:00+00:00,48.63,49.0,48.5,48.88,2527500,13.1834543504,13.2837602954,13.148211721,13.2512286376,5055000,0.0,1.0
2000-01-04 00:00:00+00:00,48.0,49.75,48.0,48.13,3090700,13.0126631466,13.4870831571,13.0126631466,13.0479057759,6181400,0.0,1.0
2000-01-05 00:00:00+00:00,49.81,49.88,48.0,48.06,3199300,13.503348986,13.5223257865,13.0126631466,13.0289289755,6398600,0.0,1.0
2000-01-06 00:00:00+00:00,51.63,52.25,50.56,51.0,2570300,13.996745797,14.1648260293,13.7066718477,13.8259545932,5140600,0.0,1.0
2000-01-07 00:00:00+00:00,53.31,55.0,52.75,52.88,3180100,14.4521890071,14.9103431888,14.3003746038,14.3356172331,6360200,0.0,1.0
2000-01-10 00:00:00+00:00,51.56,54.56,51.5,54.06,1841100,13.9777689966,14.7910604432,13.9615031677,14.6555118688,3682200,0.0,1.0
2000-01-11 00:00:00+00:00,50.75,53.19,50.75,51.63,1972800,13.758180306,14.4196573493,13.758180306,13.996745797,3945600,0.0,1.0
2000-01-12 00:00:00+00:00,51.63,52.31,51.13,51.5,1700500,13.996745797,14.1810918583,13.8611972226,13.9615031677,3401000,0.0,1.0
2000-01-13 00:00:00+00:00,52.19,53.38,52.06,53.19,1564700,14.1485602004,14.4711658076,14.113317571,14.4196573493,3129400,0.0,1.0
2000-01-14 00:00:00+00:00,51.94,52.88,51.88,52.06,1522200,14.0807859132,14.3356172331,14.0645200842,14.113317571,3044400,0.0,1.0
2000-01-18 00:00:00+00:00,49.94,51.75,49.88,51.56,2027100,13.6266981888,14.1205773182,13.6103265049,14.0687336527,4054200,0.325,1.0
2000-01-19 00:00:00+00:00,49.31,50.69,49.31,49.94,1712300,13.4547955084,13.8313442369,13.4547955084,13.6266981888,3424600,0.0,1.0
2000-01-20 00:00:00+00:00,47.13,49.94,47.06,49.56,2139600,12.8599576619,13.6266981888,12.8408573641,13.5230108577,4279200,0.0,1.0
2000-01-21 00:00:00+00:00,47.38,47.94,45.63,47.19,2500000,12.9281730113,13.0809753939,12.4506655658,12.8763293458,5000000,0.0,1.0
2000-01-24 00:00:00+00:00,45.31,47.25,45.06,47.0,2692800,12.3633499186,12.8927010296,12.2951345692,12.8244856803,5385600,0.0,1.0
2000-01-25 00:00:00+00:00,43.63,45.0,42.56,44.81,3042100,11.9049427709,12.2787628854,11.6129810756,12.2269192198,6084200,0.0,1.0
2000-01-26 00:00:00+00:00,44.94,45.69,43.38,43.38,2094100,12.2623912015,12.4670372496,11.8367274215,11.8367274215,4188200,0.0,1.0
2000-01-27 00:00:00+00:00,44.56,45.56,44.0,44.94,1670400,12.1587038705,12.4315652679,12.0059014879,12.2623912015,3340800,0.0,1.0
2000-01-28 00:00:00+00:00,43.5,45.19,43.5,44.13,2425800,11.8694707892,12.3306065509,11.8694707892,12.0413734696,4851600,0.0,1.0
2000-01-31 00:00:00+00:00,42.44,43.94,42.44,43.13,1838500,11.5802377079,11.9895298041,11.5802377079,11.7685120721,3677000,0.0,1.0
2000-02-01 00:00:00+00:00,43.19,44.06,42.75,42.75,1465100,11.784883756,12.0222731718,11.6648247411,11.6648247411,2930200,0.0,1.0
