date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-06-23 00:00:00+00:00,17.2,17.3,14.75,15.0,10893600,4.3,4.325,3.6875,3.75,43574400,0.0,1.0
2004-06-24 00:00:00+00:00,16.76,17.69,16.5,17.55,2221800,4.19,4.4225,4.125,4.3875,8887200,0.0,1.0
2004-06-25 00:00:00+00:00,15.8,16.75,15.79,16.51,1677500,3.95,4.1875,3.9475,4.1275,6710000,0.0,1.0
2004-06-28 00:00:00+00:00,16.0,16.21,15.436,16.0,567700,4.0,4.0525,3.859,4.0,2270800,0.0,1.0
2004-06-29 00:00:00+00:00,16.4,16.7,15.83,16.0,528000,4.1,4.175,3.9575,4.0,2112000,0.0,1.0
2004-06-30 00:00:00+00:00,16.07,16.94,16.03,16.4,521900,4.0175,4.235,4.0075,4.1,2087600,0.0,1.0
2004-07-01 00:00:00+00:00,16.03,16.2,15.9,16.08,438700,4.0075,4.05,3.975,4.02,1754800,0.0,1.0
2004-07-02 00:00:00+00:00,16.98,16.98,16.05,16.1,248300,4.245,4.245,4.0125,4.025,993200,0.0,1.0
2004-07-06 00:00:00+00:00,17.0,17.0,16.48,16.93,304200,4.25,4.25,4.12,4.2325,1216800,0.0,1.0
2004-07-07 00:00:00+00:00,16.31,16.9,16.05,16.9,446900,4.0775,4.225,4.0125,4.225,1787600,0.0,1.0
2004-07-08 00:00:00+00:00,15.74,16.31,15.66,16.31,544800,3.935,4.0775,3.915,4.0775,2179200,0.0,1.0
2004-07-09 00:00:00+00:00,16.4,16.57,15.9,15.94,149200,4.1,4.1425,3.975,3.985,596800,0.0,1.0
2004-07-12 00:00:00+00:00,16.75,16.83,16.15,16.6,195200,4.1875,4.2075,4.0375,4.15,780800,0.0,1.0
2004-07-13 00:00:00+00:00,16.08,16.74,16.08,16.74,418500,4.02,4.185,4.02,4.185,1674000,0.0,1.0
2004-07-14 00:00:00+00:00,15.65,16.05,15.58,16.05,591500,3.9125,4.0125,3.895,4.0125,2366000,0.0,1.0
2004-07-15 00:00:00+00:00,15.34,15.8,14.94,15.75,451500,3.835,3.95,3.735,3.9375,1806000,0.0,1.0
2004-07-16 00:00:00+00:00,16.0,16.4,14.96,15.4,819700,4.0,4.1,3.74,3.85,3278800,0.0,1.0
2004-07-19 00:00:00+00:00,16.01,16.17,15.83,16.05,238700,4.0025,4.0425,3.9575,4.0125,954800,0.0,1.0
2004-07-20 00:00:00+00:00,16.06,16.18,15.53,16.01,561300,4.015,4.045,3.8825,4.0025,2245200,0.0,1.0
2004-07-21 00:00:00+00:00,11.7,16.1,11.05,16.1,6353800,2.925,4.025,2.7625,4.025,25415200,0.0,1.0
2004-07-22 00:00:00+00:00,12.98,13.18,11.3,11.55,2456200,3.245,3.295,2.825,2.8875,9824800,0.0,1.0
2004-07-23 00:00:00+00:00,13.04,13.5,12.75,12.95,418600,3.26,3.375,3.1875,3.2375,1674400,0.0,1.0
2004-07-26 00:00:00+00:00,13.28,13.55,12.88,13.55,321500,3.32,3.3875,3.22,3.3875,1286000,0.0,1.0
2004-07-27 00:00:00+00:00,13.14,13.43,13.1,13.38,187800,3.285,3.3575,3.275,3.345,751200,0.0,1.0
2004-07-28 00:00:00+00:00,12.99,13.22,12.6,13.05,383700,3.2475,3.305,3.15,3.2625,1534800,0.0,1.0
2004-07-29 00:00:00+00:00,12.96,13.35,12.95,13.0,227000,3.24,3.3375,3.2375,3.25,908000,0.0,1.0
2004-07-30 00:00:00+00:00,13.01,13.2,12.55,12.96,203800,3.2525,3.3,3.1375,3.24,815200,0.0,1.0
2004-08-02 00:00:00+00:00,12.81,13.08,12.57,12.98,324400,3.2025,3.27,3.1425,3.245,1297600,0.0,1.0
2004-08-03 00:00:00+00:00,12.13,13.09,11.99,12.8,736100,3.0325,3.2725,2.9975,3.2,2944400,0.0,1.0
2004-08-04 00:00:00+00:00,11.98,12.15,11.95,12.13,686700,2.995,3.0375,2.9875,3.0325,2746800,0.0,1.0
2004-08-05 00:00:00+00:00,10.9,11.99,10.68,11.99,757600,2.725,2.9975,2.67,2.9975,3030400,0.0,1.0
2004-08-06 00:00:00+00:00,10.77,11.0,10.71,10.9,449300,2.6925,2.75,2.6775,2.725,1797200,0.0,1.0
2004-08-09 00:00:00+00:00,10.99,11.05,10.86,10.95,280400,2.7475,2.7625,2.715,2.7375,1121600,0.0,1.0
2004-08-10 00:00:00+00:00,11.0,11.04,10.88,11.0,183300,2.75,2.76,2.72,2.75,733200,0.0,1.0
2004-08-11 00:00:00+00:00,10.62,10.95,10.59,10.95,157100,2.655,2.7375,2.6475,2.7375,628400,0.0,1.0
2004-08-12 00:00:00+00:00,9.99,10.73,9.92,10.72,394500,2.4975,2.6825,2.48,2.68,1578000,0.0,1.0
2004-08-13 00:00:00+00:00,9.59,10.05,9.47,9.99,624000,2.3975,2.5125,2.3675,2.4975,2496000,0.0,1.0
2004-08-16 00:00:00+00:00,9.72,9.85,9.0,9.6,542800,2.43,2.4625,2.25,2.4,2171200,0.0,1.0
2004-08-17 00:00:00+00:00,10.97,10.99,9.88,9.88,742000,2.7425,2.7475,2.47,2.47,2968000,0.0,1.0
2004-08-18 00:00:00+00:00,11.95,12.15,10.68,10.9,424400,2.9875,3.0375,2.67,2.725,1697600,0.0,1.0
2004-08-19 00:00:00+00:00,12.17,12.25,11.7,11.95,327400,3.0425,3.0625,2.925,2.9875,1309600,0.0,1.0
2004-08-20 00:00:00+00:00,12.6,13.2,11.89,12.5,1008700,3.15,3.3,2.9725,3.125,4034800,0.0,1.0
2004-08-23 00:00:00+00:00,12.5,12.95,12.36,12.7,281900,3.125,3.2375,3.09,3.175,1127600,0.0,1.0
2004-08-24 00:00:00+00:00,12.77,12.78,12.42,12.6,268100,3.1925,3.195,3.105,3.15,1072400,0.0,1.0
2004-08-25 00:00:00+00:00,12.96,13.05,12.5,12.8,300200,3.24,3.2625,3.125,3.2,1200800,0.0,1.0
2004-08-26 00:00:00+00:00,12.9,13.0,12.81,12.97,117800,3.225,3.25,3.2025,3.2425,471200,0.0,1.0
2004-08-27 00:00:00+00:00,13.15,13.21,12.9,13.0,115900,3.2875,3.3025,3.225,3.25,463600,0.0,1.0
2004-08-30 00:00:00+00:00,13.17,13.26,13.06,13.22,151500,3.2925,3.315,3.265,3.305,606000,0.0,1.0
2004-08-31 00:00:00+00:00,13.0,13.25,12.7,13.2,218600,3.25,3.3125,3.175,3.3,874400,0.0,1.0
2004-09-01 00:00:00+00:00,13.33,13.33,13.16,13.2,128200,3.3325,3.3325,3.29,3.3,512800,0.0,1.0
2004-09-02 00:00:00+00:00,13.89,13.97,13.28,13.28,249700,3.4725,3.4925,3.32,3.32,998800,0.0,1.0
2004-09-03 00:00:00+00:00,13.75,13.94,13.62,13.9,231000,3.4375,3.485,3.405,3.475,924000,0.0,1.0
2004-09-07 00:00:00+00:00,13.43,13.76,13.4,13.76,298000,3.3575,3.44,3.35,3.44,1192000,0.0,1.0
2004-09-08 00:00:00+00:00,13.24,13.33,13.15,13.33,137500,3.31,3.3325,3.2875,3.3325,550000,0.0,1.0
2004-09-09 00:00:00+00:00,13.17,13.3,12.97,13.24,632300,3.2925,3.325,3.2425,3.31,2529200,0.0,1.0
2004-09-10 00:00:00+00:00,14.25,14.3,13.15,13.15,698800,3.5625,3.575,3.2875,3.2875,2795200,0.0,1.0
2004-09-13 00:00:00+00:00,15.2,15.5,14.4,14.4,1086300,3.8,3.875,3.6,3.6,4345200,0.0,1.0
2004-09-14 00:00:00+00:00,15.91,16.09,15.0,15.2,513000,3.9775,4.0225,3.75,3.8,2052000,0.0,1.0
2004-09-15 00:00:00+00:00,16.34,17.14,15.7,15.92,1036800,4.085,4.285,3.925,3.98,4147200,0.0,1.0
2004-09-16 00:00:00+00:00,16.26,16.49,16.06,16.35,629600,4.065,4.1225,4.015,4.0875,2518400,0.0,1.0
2004-09-17 00:00:00+00:00,15.67,16.21,14.84,16.2,1121900,3.9175,4.0525,3.71,4.05,4487600,0.0,1.0
