date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03 00:00:00+00:00,65.19,69.19,63.81,68.62,12030800,41.0647616749,43.5844586637,40.1954662137,43.2254018428,12030800,0.0,1.0
2000-01-04 00:00:00+00:00,58.5,64.31,57.0,64.0,8774500,36.8505684611,40.5104283373,35.9056820903,40.3151518207,8774500,0.0,1.0
2000-01-05 00:00:00+00:00,61.75,63.0,61.0,61.75,6931400,38.8978222645,39.6852275735,38.4253790791,38.8978222645,6931400,0.0,1.0
2000-01-06 00:00:00+00:00,60.0,62.0,60.0,61.63,6603400,37.7954548319,39.0553033263,37.7954548319,38.8222313548,6603400,0.0,1.0
2000-01-07 00:00:00+00:00,63.5,63.5,60.75,61.75,6201600,40.0001896971,40.0001896971,38.2678980173,38.8978222645,6201600,0.0,1.0
2000-01-10 00:00:00+00:00,63.19,63.56,62.0,62.0,5453000,39.8049131805,40.0379851519,39.0553033263,39.0553033263,5453000,0.0,1.0
2000-01-11 00:00:00+00:00,61.56,63.63,61.25,63.44,4371500,38.7781366575,40.0820798492,38.5828601409,39.9623942423,4371500,0.0,1.0
2000-01-12 00:00:00+00:00,61.06,62.06,60.69,61.56,4599400,38.4631745339,39.0930987811,38.2301025625,38.7781366575,4599400,0.0,1.0
2000-01-13 00:00:00+00:00,62.13,62.5,61.5,62.13,4538900,39.1371934784,39.3702654499,38.7403412027,39.1371934784,4538900,0.0,1.0
2000-01-14 00:00:00+00:00,61.94,62.44,61.19,62.38,4578000,39.0175078715,39.3324699951,38.5450646861,39.2946745402,4578000,0.0,1.0
2000-01-18 00:00:00+00:00,60.5,61.25,60.13,61.25,5322000,38.1104169555,38.5828601409,37.877344984,38.5828601409,5322000,0.0,1.0
2000-01-19 00:00:00+00:00,61.88,62.44,60.13,60.13,5176400,38.9797124166,39.3324699951,37.877344984,37.877344984,5176400,0.0,1.0
2000-01-20 00:00:00+00:00,60.81,61.75,59.88,61.56,7213400,38.3056934721,38.8978222645,37.7198639222,38.7781366575,7213400,0.0,1.0
2000-01-21 00:00:00+00:00,60.0,61.5,59.44,61.5,6682900,37.7954548319,38.7403412027,37.4426972535,38.7403412027,6682900,0.0,1.0
2000-01-24 00:00:00+00:00,58.0,60.94,56.69,60.94,7339600,36.5356063375,38.3875836243,35.7104055737,38.3875836243,7339600,0.0,1.0
2000-01-25 00:00:00+00:00,56.13,57.13,54.88,57.0,10252400,35.3576479953,35.9875722425,34.5702426863,35.9056820903,10252400,0.0,1.0
2000-01-26 00:00:00+00:00,57.38,57.69,55.06,55.94,8468400,36.1450533043,36.3403298209,34.6836290508,35.2379623883,8468400,0.0,1.0
2000-01-27 00:00:00+00:00,58.25,59.5,56.19,57.88,6915900,36.6930873993,37.4804927083,35.3954434501,36.4600154279,6915900,0.0,1.0
2000-01-28 00:00:00+00:00,55.63,57.44,55.5,57.0,7425100,35.0426858717,36.1828487591,34.9607957195,35.9056820903,7425100,0.0,1.0
2000-01-31 00:00:00+00:00,56.63,56.81,55.06,56.5,5958600,35.6726101189,35.7859964833,34.6836290508,35.5907199667,5958600,0.0,1.0
2000-02-01 00:00:00+00:00,62.0,62.0,56.81,56.94,10950500,39.0553033263,39.0553033263,35.7859964833,35.8678866355,10950500,0.0,1.0
2000-02-02 00:00:00+00:00,60.75,61.5,59.63,61.0,5862100,38.2678980173,38.7403412027,37.5623828604,38.4253790791,5862100,0.0,1.0
2000-02-03 00:00:00+00:00,60.5,60.63,59.0,60.5,4008800,38.1104169555,38.1923071076,37.1655305847,38.1104169555,4008800,0.0,1.0
2000-02-04 00:00:00+00:00,61.12,61.5,60.31,61.0,4063900,38.5009699888,38.7403412027,37.9907313485,38.4253790791,4063900,0.0,1.0
