date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03 00:00:00+00:00,94.38,96.44,94.06,96.06,1086700,25.8538389202,26.4181418252,25.7661802165,26.3140471146,2173400,0.0,1.0
2000-01-04 00:00:00+00:00,90.63,94.81,90.63,92.88,1356900,24.8265884863,25.9716303033,24.8265884863,25.4429387466,2713800,0.0,1.0
2000-01-05 00:00:00+00:00,95.25,95.31,91.13,91.13,1849700,26.0921610209,26.1085970278,24.9635552108,24.9635552108,3699400,0.0,1.0
2000-01-06 00:00:00+00:00,100.8,102.5,94.31,94.31,2987900,27.612491663,28.0781785264,25.8346635788,25.8346635788,5975800,0.0,1.0
2000-01-07 00:00:00+00:00,102.8,103.8,99.94,101.1,2050600,28.1603585611,28.4342920101,27.3769088968,27.6946716977,4101200,0.0,1.0
2000-01-10 00:00:00+00:00,102.3,103.5,100.0,100.4,1931900,28.0233918366,28.3521119754,27.3933449038,27.5029182834,3863800,0.0,1.0
2000-01-11 00:00:00+00:00,100.5,102.5,100.5,100.8,1178800,27.5303116283,28.0781785264,27.5303116283,27.612491663,2357600,0.0,1.0
2000-01-12 00:00:00+00:00,100.8,103.6,100.8,101.9,1434200,27.612491663,28.3795053203,27.612491663,27.913818457,2868400,0.0,1.0
2000-01-13 00:00:00+00:00,100.8,101.9,100.4,101.3,1122200,27.612491663,27.913818457,27.5029182834,27.7494583875,2244400,0.0,1.0
2000-01-14 00:00:00+00:00,99.31,100.9,98.94,100.8,1270900,27.2043308239,27.6398850079,27.1029754478,27.612491663,2541800,0.0,1.0
2000-01-18 00:00:00+00:00,97.13,99.25,97.13,97.25,1057400,26.607155905,27.187894817,26.607155905,26.6400279189,2114800,0.0,1.0
2000-01-19 00:00:00+00:00,98.81,99.94,97.75,97.75,1314100,27.0673640994,27.3769088968,26.7769946434,26.7769946434,2628200,0.0,1.0
2000-01-20 00:00:00+00:00,95.13,99.38,94.5,99.06,1552300,26.059289007,27.2235061654,25.8867109341,27.1358474617,3104600,0.0,1.0
2000-01-21 00:00:00+00:00,94.94,96.56,94.56,95.25,2245900,26.0072416517,26.4510138391,25.903146941,26.0921610209,4491800,0.0,1.0
