date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03 00:00:00+00:00,67.63,68.63,67.5,68.63,5978800,27.7021647804,28.1117783362,27.6489150181,28.1117783362,6265782,0.0,1.0
2000-01-04 00:00:00+00:00,65.25,67.81,64.75,67.0,7533100,26.7272845175,27.7758952204,26.5224777396,27.4441082402,7894688,0.0,1.0
2000-01-05 00:00:00+00:00,68.25,68.88,65.06,65.06,7598300,27.956125185,28.2141817252,26.6494579419,26.6494579419,7963018,0.0,1.0
2000-01-06 00:00:00+00:00,68.38,69.19,67.69,67.81,4760500,28.0093749472,28.3411619275,27.7267415937,27.7758952204,4989004,0.0,1.0
2000-01-07 00:00:00+00:00,74.94,75.25,69.63,69.81,10373300,30.6964398734,30.8234200758,28.521391892,28.5951223321,10871218,0.0,1.0
2000-01-10 00:00:00+00:00,72.75,74.81,72.13,74.75,5726800,29.7993861862,30.6431901112,29.5454257816,30.6186132978,6001686,0.0,1.0
2000-01-11 00:00:00+00:00,72.81,73.69,71.38,72.06,5023300,29.8239629995,30.1844229287,29.2382156147,29.5167528327,5264418,0.0,1.0
2000-01-12 00:00:00+00:00,74.44,75.19,73.44,73.63,4990400,30.4916330955,30.7988432624,30.0820195397,30.1598461153,5229939,0.0,1.0
2000-01-13 00:00:00+00:00,74.75,76.13,73.81,74.81,5353500,30.6186132978,31.1838800049,30.2335765554,30.6431901112,5610468,0.0,1.0
2000-01-14 00:00:00+00:00,74.13,75.94,72.69,75.25,5540200,30.3646528932,31.1060534293,29.7748093728,30.8234200758,5806129,0.0,1.0
2000-01-18 00:00:00+00:00,70.81,73.56,70.56,73.13,5299700,29.0047358879,30.1311731664,28.9023324989,29.9550393374,5554085,0.0,1.0
2000-01-19 00:00:00+00:00,71.5,72.69,71.25,71.75,4761600,29.2873692414,29.7748093728,29.1849658525,29.3897726304,4990156,0.0,1.0
2000-01-20 00:00:00+00:00,72.94,73.19,71.44,71.94,4986300,29.8772127618,29.9796161508,29.2627924281,29.467599206,5225642,0.0,1.0
2000-01-21 00:00:00+00:00,72.44,74.5,71.56,74.5,7928900,29.6724059839,30.5162099089,29.3119460548,30.5162099089,8309487,0.0,1.0
2000-01-24 00:00:00+00:00,70.25,73.0,69.06,73.0,5189100,28.7753522966,29.9017895752,28.2879121652,29.9017895752,5438176,0.0,1.0
2000-01-25 00:00:00+00:00,70.88,72.0,70.63,71.13,5446100,29.0334088368,29.4921760193,28.9310054478,29.1358122258,5707512,0.0,1.0
2000-01-26 00:00:00+00:00,72.81,73.0,70.63,71.0,5357500,29.8239629995,29.9017895752,28.9310054478,29.0825624635,5614660,0.0,1.0
